排名,中文标题,外文标题,上映年份,片长,类型,IMDb,详情链接
107,超能陆战队,/ Big Hero 6,2015,102分钟,喜剧 / 动作 / 科幻 / 动画 / 冒险,tt2245084,https://movie.douban.com/subject/11026735/
108,7号房的礼物,/ 7번방의 선물,2013,127分钟,剧情 / 喜剧 / 家庭,tt2659414,https://movie.douban.com/subject/10777687/
109,茶馆,/ The Teahouse,1982,118分钟,剧情 / 历史,tt1395030,https://movie.douban.com/subject/1461403/
110,第六感,/ The Sixth Sense,1999,107分钟,剧情 / 悬疑 / 惊悚,tt0167404,https://movie.douban.com/subject/1297630/
111,爱在黎明破晓前,/ Before Sunrise,1995,101分钟,剧情 / 爱情,tt0112471,https://movie.douban.com/subject/1296339/
112,爱在日落黄昏时,/ Before Sunset,2004,80分钟,剧情 / 爱情,tt0381681,https://movie.douban.com/subject/1291990/
113,被嫌弃的松子的一生,/ 嫌われ松子の一生,2006,130分钟,剧情 / 歌舞,tt0768120,https://movie.douban.com/subject/1787291/
114,头脑特工队,/ Inside Out,2015,95分钟,喜剧 / 动画 / 冒险,tt2096673,https://movie.douban.com/subject/10533913/
115,哈利·波特与火焰杯,/ Harry Potter and the Goblet of Fire,2005,157分钟,悬疑 / 奇幻 / 冒险,tt0330373,https://movie.douban.com/subject/1309055/
116,未麻的部屋,/ Perfect Blue,1997,81分钟,剧情 / 动画 / 悬疑 / 惊悚 / 犯罪,tt0156887,https://movie.douban.com/subject/1395091/
117,重庆森林,/ 重慶森林,1994,102分钟,剧情 / 爱情,tt0109424,https://movie.douban.com/subject/1291999/
118,借东西的小人阿莉埃蒂,/ 借りぐらしのアリエッティ,2010,94分钟,动画 / 奇幻 / 冒险,tt1568921,https://movie.douban.com/subject/4202302/
119,菊次郎的夏天,/ 菊次郎の夏,2020,121分钟,剧情 / 喜剧,tt0199683,https://movie.douban.com/subject/1293359/
120,入殓师,/ おくりびと,2021,130分钟,剧情,tt1069238,https://movie.douban.com/subject/2149806/
121,断背山,/ Brokeback Mountain,2005,134分钟,剧情 / 爱情 / 同性 / 家庭,tt0388795,https://movie.douban.com/subject/1418834/
122,剪刀手爱德华,/ Edward Scissorhands,1990,105分钟,剧情 / 爱情 / 奇幻,tt0099487,https://movie.douban.com/subject/1292370/
123,勇敢的心,/ Braveheart,1995,178分钟,剧情 / 动作 / 传记 / 历史 / 战争,tt0112573,https://movie.douban.com/subject/1294639/
124,时空恋旅人,/ About Time,2013,123分钟,喜剧 / 爱情 / 奇幻,tt2194499,https://movie.douban.com/subject/10577869/
125,驯龙高手,/ How to Train Your Dragon,2010,98分钟,动画 / 奇幻 / 冒险,tt0892769,https://movie.douban.com/subject/2353023/
126,傲慢与偏见,/ Pride & Prejudice,2005,129分钟,剧情 / 爱情,tt0414387,https://movie.douban.com/subject/1418200/
127,消失的爱人,/ Gone Girl,2014,149分钟,剧情 / 悬疑 / 惊悚 / 犯罪,tt2267998,https://movie.douban.com/subject/21318488/
128,无人知晓,/ 誰も知らない,2004,141分钟,剧情,tt0408664,https://movie.douban.com/subject/1292337/
129,倩女幽魂,/ 倩女幽魂(87版)  /  倩女幽魂：妖魔道,2011,96分钟,爱情 / 奇幻 / 武侠 / 古装,tt0093978,https://movie.douban.com/subject/1297447/
130,新世界,/ 신세계,2013,135分钟,剧情 / 犯罪,tt2625030,https://movie.douban.com/subject/10437779/
131,花样年华,/ 花樣年華,2000,103分钟,剧情 / 爱情,tt0118694,https://movie.douban.com/subject/1291557/
132,玩具总动员3,/ Toy Story 3,2010,103分钟,喜剧 / 动画 / 奇幻 / 冒险,tt0435761,https://movie.douban.com/subject/1858711/
133,一个叫欧维的男人决定去死,/ En man som heter Ove,2015,116分钟,剧情,tt4080728,https://movie.douban.com/subject/26628357/
134,色，戒,/ 色|戒  /  色·戒,2007,158分钟,剧情 / 爱情 / 情色,tt0808357,https://movie.douban.com/subject/1828115/
135,完美的世界,/ A Perfect World,1993,138分钟,剧情 / 犯罪,tt0107808,https://movie.douban.com/subject/1300992/
136,怪兽电力公司,"/ Monsters, Inc.",2001,92分钟,喜剧 / 动画 / 儿童 / 奇幻 / 冒险,tt0198781,https://movie.douban.com/subject/1291579/
137,阳光灿烂的日子,/ In the Heat of the Sun,1995,134分钟,剧情 / 爱情,tt0111786,https://movie.douban.com/subject/1291875/
138,教父3,/ The Godfather: Part III,1990,162分钟,剧情 / 犯罪,tt0099674,https://movie.douban.com/subject/1294240/
139,小森林 夏秋篇,/ リトル・フォレスト 夏・秋,2014,111分钟,剧情,tt3474600,https://movie.douban.com/subject/25814705/
140,天使爱美丽,/ Le Fabuleux destin d'Amélie Poulain,2001,122分钟,剧情 / 喜剧 / 爱情,tt0211915,https://movie.douban.com/subject/1292215/
141,侧耳倾听,/ 耳をすませば,1995,111分钟,剧情 / 爱情 / 动画,tt0113824,https://movie.douban.com/subject/1297052/
142,哪吒闹海,/ Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,1979,62分钟,动画 / 奇幻 / 冒险,tt0354770,https://movie.douban.com/subject/1307315/
143,九品芝麻官,/ 九品芝麻官之白面包青天  /  Hail the Judge,1994,108分钟,剧情 / 喜剧 / 古装,tt0110201,https://movie.douban.com/subject/1297518/
144,被解救的姜戈,/ Django Unchained,2013,163分钟,剧情 / 动作 / 西部 / 冒险,tt1853728,https://movie.douban.com/subject/6307447/
145,请以你的名字呼唤我,/ Call Me by Your Name,2017,132分钟,剧情 / 爱情 / 同性,tt5726616,https://movie.douban.com/subject/26799731/
146,幸福终点站,/ The Terminal,2005,128分钟,剧情 / 喜剧 / 爱情,tt0362227,https://movie.douban.com/subject/1292274/
147,釜山行,/ 부산행,2016,118分钟,动作 / 惊悚 / 灾难,tt5700672,https://movie.douban.com/subject/25986180/
148,神偷奶爸,/ Despicable Me,2010,95分钟,喜剧 / 动画 / 冒险,tt1323594,https://movie.douban.com/subject/3287562/
149,小森林 冬春篇,/ リトル・フォレスト 冬・春,2015,120分钟,剧情,tt3474602,https://movie.douban.com/subject/25814707/
150,喜宴,/ 囍宴,1993,108分钟,剧情 / 喜剧 / 爱情 / 同性 / 家庭,tt0107156,https://movie.douban.com/subject/1303037/
151,萤火之森,/ 蛍火の杜へ,2011,45分钟,剧情 / 爱情 / 动画 / 奇幻,tt2061702,https://movie.douban.com/subject/5989818/
152,告白,/ 自白  /  母亲,2010,106分钟,剧情 / 悬疑,tt1590089,https://movie.douban.com/subject/4268598/
153,七武士,/ 七人の侍,1954,207分钟,剧情 / 动作 / 冒险,tt0047478,https://movie.douban.com/subject/1295399/
154,玛丽和麦克斯,/ Mary and Max,2025,90分钟,剧情 / 喜剧 / 动画,tt0978762,https://movie.douban.com/subject/3072124/
155,头号玩家,/ Ready Player One,2018,140分钟,动作 / 科幻 / 冒险,tt1677720,https://movie.douban.com/subject/4920389/
156,模仿游戏,/ The Imitation Game,2015,114分钟,剧情 / 同性 / 传记 / 战争,tt2084970,https://movie.douban.com/subject/10463953/
157,惊魂记,/ Psycho,1960,109分钟,悬疑 / 惊悚 / 恐怖,tt0054215,https://movie.douban.com/subject/1293181/
158,机器人之梦,/ Robot Dreams,2024,102分钟,剧情 / 动画 / 音乐,tt13429870,https://movie.douban.com/subject/35426925/
159,大鱼,/ Big Fish,2003,125分钟,剧情 / 爱情 / 奇幻 / 冒险,tt0319061,https://movie.douban.com/subject/1291545/
160,心灵奇旅,/ Soul,2020,100分钟,动画 / 音乐 / 奇幻,tt2948372,https://movie.douban.com/subject/24733428/
161,背靠背，脸对脸,"/ 背对背，脸对脸  /  Back to Back, Face to Face",1994,148分钟,剧情,tt0109235,https://movie.douban.com/subject/1307856/
162,血战钢锯岭,/ Hacksaw Ridge,2016,139分钟,剧情 / 传记 / 历史 / 战争,tt2119532,https://movie.douban.com/subject/26325320/
163,射雕英雄传之东成西就,/ 射鵰英雄傳之東成西就,1993,113分钟,喜剧 / 奇幻 / 武侠 / 古装,tt0108074,https://movie.douban.com/subject/1316510/
164,你的名字。,/ 君の名は。,2016,106分钟,剧情 / 爱情 / 动画,tt5311514,https://movie.douban.com/subject/26683290/
165,我是山姆,/ I Am Sam,2001,132分钟,剧情 / 家庭,tt0277027,https://movie.douban.com/subject/1306861/
166,阳光姐妹淘,/ 써니,2011,124分钟,剧情 / 喜剧,tt1937339,https://movie.douban.com/subject/4917726/
167,末路狂花,/ Thelma & Louise,1991,130分钟,剧情 / 惊悚 / 犯罪,tt0103074,https://movie.douban.com/subject/1291992/
168,恐怖直播,/ 더 테러 라이브,2013,97分钟,剧情 / 悬疑 / 犯罪,tt2990738,https://movie.douban.com/subject/21360417/
169,黑客帝国3：矩阵革命,/ The Matrix Revolutions,2003,129分钟,动作 / 科幻,tt0242653,https://movie.douban.com/subject/1302467/
170,高山下的花环,/ 卫国军魂(港)  /  Wreaths at the Foot of the Mountain,1984,146分钟,剧情 / 战争,tt0090340,https://movie.douban.com/subject/1422283/
171,小丑,/ Joker,2019,122分钟,剧情 / 惊悚 / 犯罪,tt7286456,https://movie.douban.com/subject/27119724/
172,谍影重重3,/ The Bourne Ultimatum,2007,115分钟,动作 / 悬疑 / 惊悚,tt0440963,https://movie.douban.com/subject/1578507/
173,三块广告牌,"/ Three Billboards Outside Ebbing, Missouri",2018,115分钟,剧情 / 犯罪,tt5027774,https://movie.douban.com/subject/26611804/
174,电锯惊魂,/ Saw,2004,103分钟,悬疑 / 惊悚 / 恐怖,tt0387564,https://movie.douban.com/subject/1417598/
175,无间道2,/ 無間道II,2003,119分钟,剧情 / 惊悚 / 犯罪,tt0369060,https://movie.douban.com/subject/1307106/
176,达拉斯买家俱乐部,/ Dallas Buyers Club,2013,117分钟,剧情 / 同性 / 传记,tt0790636,https://movie.douban.com/subject/1793929/
177,疯狂原始人,/ The Croods,2013,98分钟,喜剧 / 动画 / 冒险,tt0481499,https://movie.douban.com/subject/1907966/
178,绿里奇迹,/ The Green Mile,1999,189分钟,剧情 / 悬疑 / 犯罪 / 奇幻,tt0120689,https://movie.douban.com/subject/1300374/
179,爱在午夜降临前,/ Before Midnight,2013,109分钟,剧情 / 爱情,tt2209418,https://movie.douban.com/subject/10808442/
180,疯狂的石头,/ Crazy Stone,2006,106分钟,喜剧 / 犯罪,tt0843270,https://movie.douban.com/subject/1862151/
181,雨中曲,/ Singin' in the Rain,1952,103分钟,喜剧 / 爱情 / 歌舞,tt0045152,https://movie.douban.com/subject/1293460/
182,2001太空漫游,/ 2001: A Space Odyssey,1968,149分钟,科幻 / 惊悚 / 冒险,tt0062622,https://movie.douban.com/subject/1292226/
183,海街日记,/ 海街diary,2015,127分钟,剧情 / 家庭,tt3756788,https://movie.douban.com/subject/25895901/
184,风之谷,/ 風の谷のナウシカ,1992,117分钟,动画 / 奇幻 / 冒险,tt0087544,https://movie.douban.com/subject/1291585/
185,上帝之城,/ Cidade de Deus,2002,130分钟,剧情 / 犯罪,tt0317248,https://movie.douban.com/subject/1292208/
186,心迷宫,/ 殡棺  /  The Coffin in the Mountain,2015,110分钟,剧情 / 悬疑 / 犯罪,tt4078856,https://movie.douban.com/subject/25917973/
187,英雄本色,/ A Better Tomorrow  /  Gangland Boss,2017,95分钟,剧情 / 动作 / 犯罪,tt0092263,https://movie.douban.com/subject/1297574/
188,记忆碎片,/ Memento,2026,113分钟,剧情 / 悬疑 / 惊悚 / 犯罪,tt0209144,https://movie.douban.com/subject/1304447/
189,纵横四海,/ 縱橫四海,2026,109分钟,剧情 / 喜剧 / 动作 / 犯罪,tt0101020,https://movie.douban.com/subject/1295409/
190,无敌破坏王,/ Wreck-It Ralph,2012,101分钟,喜剧 / 动画 / 奇幻 / 冒险,tt1772341,https://movie.douban.com/subject/6534248/
191,卢旺达饭店,/ Hotel Rwanda,2004,121分钟,剧情 / 传记 / 历史 / 战争,tt0395169,https://movie.douban.com/subject/1291822/
192,牯岭街少年杀人事件,/ 牯嶺街少年殺人事件,1991,237分钟,剧情 / 犯罪,tt0101985,https://movie.douban.com/subject/1292329/
193,恐怖游轮,/ Triangle,2009,99分钟,科幻 / 悬疑 / 惊悚 / 奇幻,tt1187064,https://movie.douban.com/subject/3011051/
194,东京教父,/ 東京ゴッドファーザーズ,2003,92分钟,剧情 / 喜剧 / 动画,tt0388473,https://movie.douban.com/subject/1310177/
195,小偷家族,/ 万引き家族,2018,117分钟,剧情 / 家庭 / 犯罪,tt8075192,https://movie.douban.com/subject/27622447/
196,魔女宅急便,/ 魔女の宅急便,1989,103分钟,动画 / 奇幻 / 冒险,tt0097814,https://movie.douban.com/subject/1307811/
197,冰川时代,/ Ice Age,2002,81分钟,喜剧 / 动画 / 冒险,tt0268380,https://movie.douban.com/subject/1291578/
198,芙蓉镇,/ Hibiscus Town,1987,164分钟,剧情 / 爱情,tt0087301,https://movie.douban.com/subject/1297880/
199,忠犬八公物语,/ ハチ公物語,1987,107分钟,剧情,tt0093132,https://movie.douban.com/subject/1959195/
200,岁月神偷,/ 歲月神偷,2010,117分钟,剧情 / 家庭,tt1602572,https://movie.douban.com/subject/3792799/
201,遗愿清单,/ The Bucket List,2007,97分钟,剧情 / 喜剧 / 冒险,tt0825232,https://movie.douban.com/subject/1867345/
