排名,中文标题,外文标题,评分,评价人数,导演/主演,简介,详情链接
139,小森林 夏秋篇,リトル・フォレスト 夏・秋,9.0,475504,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,暂无简介,https://movie.douban.com/subject/25814705/
140,天使爱美丽,Le Fabuleux destin d'Amélie Poulain,8.7,1023571,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...,暂无简介,https://movie.douban.com/subject/1292215/
141,侧耳倾听,耳をすませば,8.9,522737,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...,暂无简介,https://movie.douban.com/subject/1297052/
142,哪吒闹海,,9.2,309935,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan   主演: 梁正晖 Zhenghui ...,暂无简介,https://movie.douban.com/subject/1307315/
143,九品芝麻官,,8.8,798360,导演: 王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,暂无简介,https://movie.douban.com/subject/1297518/
144,被解救的姜戈,Django Unchained,8.8,696061,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...,暂无简介,https://movie.douban.com/subject/6307447/
145,请以你的名字呼唤我,Call Me by Your Name,8.8,828575,导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...,暂无简介,https://movie.douban.com/subject/26799731/
146,幸福终点站,The Terminal,8.8,645195,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,暂无简介,https://movie.douban.com/subject/1292274/
147,釜山行,부산행,8.6,1355875,导演: 延尚昊 Sang-ho Yeon   主演: 孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马...,暂无简介,https://movie.douban.com/subject/25986180/
148,神偷奶爸,Despicable Me,8.7,1050876,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...,暂无简介,https://movie.douban.com/subject/3287562/
149,小森林 冬春篇,リトル・フォレスト 冬・春,9.0,422455,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,暂无简介,https://movie.douban.com/subject/25814707/
150,喜宴,囍宴,9.0,434513,导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,暂无简介,https://movie.douban.com/subject/1303037/
151,萤火之森,蛍火の杜へ,8.8,614335,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,暂无简介,https://movie.douban.com/subject/5989818/
152,告白,,8.8,746844,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,暂无简介,https://movie.douban.com/subject/4268598/
153,七武士,七人の侍,9.3,237274,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,暂无简介,https://movie.douban.com/subject/1295399/
154,玛丽和麦克斯,Mary and Max,9.0,472804,导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...,暂无简介,https://movie.douban.com/subject/3072124/
155,头号玩家,Ready Player One,8.6,1523012,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...,暂无简介,https://movie.douban.com/subject/4920389/
156,模仿游戏,The Imitation Game,8.8,722999,导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...,暂无简介,https://movie.douban.com/subject/10463953/
157,惊魂记,Psycho,9.0,358831,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho...,暂无简介,https://movie.douban.com/subject/1293181/
158,机器人之梦,Robot Dreams,9.1,445009,导演: 巴勃罗·贝格尔 Pablo Berger   主演: 伊万·拉班达 Ivan Labanda,暂无简介,https://movie.douban.com/subject/35426925/
159,大鱼,Big Fish,8.8,629429,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,暂无简介,https://movie.douban.com/subject/1291545/
160,心灵奇旅,Soul,8.7,1149123,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   主演: 杰米·...,暂无简介,https://movie.douban.com/subject/24733428/
161,背靠背，脸对脸,,9.5,181638,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N...,暂无简介,https://movie.douban.com/subject/1307856/
162,血战钢锯岭,Hacksaw Ridge,8.7,862900,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...,暂无简介,https://movie.douban.com/subject/26325320/
163,射雕英雄传之东成西就,射鵰英雄傳之東成西就,8.7,720726,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,暂无简介,https://movie.douban.com/subject/1316510/
164,你的名字。,君の名は。,8.5,1600203,导演: 新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûnosuke Kamiki / 上...,暂无简介,https://movie.douban.com/subject/26683290/
165,我是山姆,I Am Sam,9.0,378529,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...,暂无简介,https://movie.douban.com/subject/1306861/
166,阳光姐妹淘,써니,8.8,640997,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,暂无简介,https://movie.douban.com/subject/4917726/
167,末路狂花,Thelma & Louise,9.0,352844,导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...,暂无简介,https://movie.douban.com/subject/1291992/
168,恐怖直播,더 테러 라이브,8.7,731483,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,暂无简介,https://movie.douban.com/subject/21360417/
169,黑客帝国3：矩阵革命,The Matrix Revolutions,8.8,499664,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,暂无简介,https://movie.douban.com/subject/1302467/
170,高山下的花环,,9.5,161496,导演: 谢晋 Jin Xie   主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,暂无简介,https://movie.douban.com/subject/1422283/
171,小丑,Joker,8.7,1129334,导演: 托德·菲利普斯 Todd Phillips   主演: 杰昆·菲尼克斯 Joaquin Phoeni...,暂无简介,https://movie.douban.com/subject/27119724/
172,谍影重重3,The Bourne Ultimatum,8.9,473496,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,暂无简介,https://movie.douban.com/subject/1578507/
173,三块广告牌,"Three Billboards Outside Ebbing, Missouri",8.7,924150,导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...,暂无简介,https://movie.douban.com/subject/26611804/
174,电锯惊魂,Saw,8.7,616513,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,暂无简介,https://movie.douban.com/subject/1417598/
175,无间道2,無間道II,8.8,571130,导演: 刘伟强 Andrew Lau / 麦兆辉 Alan Mak   主演: 陈冠希 Edison Chen / ...,暂无简介,https://movie.douban.com/subject/1307106/
176,达拉斯买家俱乐部,Dallas Buyers Club,8.8,508757,导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...,暂无简介,https://movie.douban.com/subject/1793929/
177,疯狂原始人,The Croods,8.7,925133,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,暂无简介,https://movie.douban.com/subject/1907966/
178,绿里奇迹,The Green Mile,8.9,390685,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / ...,暂无简介,https://movie.douban.com/subject/1300374/
179,爱在午夜降临前,Before Midnight,8.9,477346,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,暂无简介,https://movie.douban.com/subject/10808442/
180,疯狂的石头,,8.6,930465,导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,暂无简介,https://movie.douban.com/subject/1862151/
181,雨中曲,Singin' in the Rain,9.1,270756,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   主演: 吉恩·...,暂无简介,https://movie.douban.com/subject/1293460/
182,2001太空漫游,2001: A Space Odyssey,8.9,399704,导演: 斯坦利·库布里克 Stanley Kubrick   主演: 凯尔·杜拉 Keir Dullea / ...,暂无简介,https://movie.douban.com/subject/1292226/
183,海街日记,海街diary,8.8,524639,导演: 是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,暂无简介,https://movie.douban.com/subject/25895901/
184,风之谷,風の谷のナウシカ,8.9,395303,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,暂无简介,https://movie.douban.com/subject/1291585/
185,上帝之城,Cidade de Deus,9.0,334953,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,暂无简介,https://movie.douban.com/subject/1292208/
186,心迷宫,,8.7,621717,导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,暂无简介,https://movie.douban.com/subject/25917973/
187,英雄本色,,8.6,609395,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,暂无简介,https://movie.douban.com/subject/1297574/
188,记忆碎片,Memento,8.7,673493,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...,暂无简介,https://movie.douban.com/subject/1304447/
189,纵横四海,縱橫四海,8.8,485599,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,暂无简介,https://movie.douban.com/subject/1295409/
190,无敌破坏王,Wreck-It Ralph,8.7,615111,导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...,暂无简介,https://movie.douban.com/subject/6534248/
191,卢旺达饭店,Hotel Rwanda,8.9,368977,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,暂无简介,https://movie.douban.com/subject/1291822/
192,牯岭街少年杀人事件,牯嶺街少年殺人事件,8.9,372635,导演: 杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,暂无简介,https://movie.douban.com/subject/1292329/
193,恐怖游轮,Triangle,8.5,996718,导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...,暂无简介,https://movie.douban.com/subject/3011051/
194,东京教父,東京ゴッドファーザーズ,9.0,293666,导演: 今敏 Satoshi Kon   主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,暂无简介,https://movie.douban.com/subject/1310177/
195,小偷家族,万引き家族,8.7,898799,导演: 是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...,暂无简介,https://movie.douban.com/subject/27622447/
196,魔女宅急便,魔女の宅急便,8.7,527731,导演: 宫崎骏 Hayao Miyazaki   主演: 高山南 Minami Takayama / 佐久间玲 Re...,暂无简介,https://movie.douban.com/subject/1307811/
197,冰川时代,Ice Age,8.7,688954,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,暂无简介,https://movie.douban.com/subject/1291578/
198,芙蓉镇,,9.3,191885,导演: 谢晋 Jin Xie   主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,暂无简介,https://movie.douban.com/subject/1297880/
199,忠犬八公物语,ハチ公物語,9.2,219883,导演: 神山征二郎 Seijirô Kôyama   主演: 仲代达矢 Tatsuya Nakadai /...,暂无简介,https://movie.douban.com/subject/1959195/
200,岁月神偷,歲月神偷,8.7,614461,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,暂无简介,https://movie.douban.com/subject/3792799/
201,遗愿清单,The Bucket List,8.7,542315,导演: 罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,暂无简介,https://movie.douban.com/subject/1867345/
202,荒蛮故事,Relatos salvajes,8.7,521035,导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...,暂无简介,https://movie.douban.com/subject/24750126/
203,大佛普拉斯,,8.7,557959,导演: 黄信尧 Hsin-yao Huang   主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,暂无简介,https://movie.douban.com/subject/27059130/
204,源代码,Source Code,8.6,931218,导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,暂无简介,https://movie.douban.com/subject/3075287/
205,花束般的恋爱,花束みたいな恋をした,8.6,835991,导演: 土井裕泰 Nobuhiro Doi   主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,暂无简介,https://movie.douban.com/subject/34874432/
206,白日梦想家,The Secret Life of Walter Mitty,8.6,655244,导演: 本·斯蒂勒 Ben Stiller   主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,暂无简介,https://movie.douban.com/subject/2133323/
207,爱乐之城,La La Land,8.4,1128556,导演: 达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Gosling /...,暂无简介,https://movie.douban.com/subject/25934014/
208,疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,8.7,621954,导演: 乔治·米勒 George Miller   主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,暂无简介,https://movie.douban.com/subject/3592854/
209,可可西里,,8.9,348549,导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,暂无简介,https://movie.douban.com/subject/1308857/
210,你看起来好像很好吃,おまえうまそうだな,8.9,377941,导演: 藤森雅也 Masaya Fujimori   主演: 山口胜平 Kappei Yamaguchi / 爱河...,暂无简介,https://movie.douban.com/subject/4848115/
211,贫民窟的百万富翁,Slumdog Millionaire,8.6,809614,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...,暂无简介,https://movie.douban.com/subject/2209573/
212,波西米亚狂想曲,Bohemian Rhapsody,8.6,694781,导演: 布莱恩·辛格 Bryan Singer   主演: 拉米·马雷克 Rami Malek / 本·哈...,暂无简介,https://movie.douban.com/subject/5300054/
213,城市之光,City Lights,9.3,174308,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,暂无简介,https://movie.douban.com/subject/1293908/
214,爆裂鼓手,Whiplash,8.6,695510,导演: 达米恩·查泽雷 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...,暂无简介,https://movie.douban.com/subject/25773932/
215,青蛇,,8.6,604122,导演: 徐克 Hark Tsui   主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,暂无简介,https://movie.douban.com/subject/1303394/
216,哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,8.6,700713,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,暂无简介,https://movie.douban.com/subject/2051007/
217,无耻混蛋,Inglourious Basterds,8.7,566947,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / ...,暂无简介,https://movie.douban.com/subject/1438652/
218,东邪西毒,東邪西毒,8.6,638020,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,暂无简介,https://movie.douban.com/subject/1292328/
219,大红灯笼高高挂,,8.8,376574,导演: 张艺谋 Yimou Zhang   主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,暂无简介,https://movie.douban.com/subject/1293323/
220,终结者2：审判日,Terminator 2: Judgment Day,8.8,388547,导演: 詹姆斯·卡梅隆 James Cameron   主演: 阿诺·施瓦辛格 Arnold Schwarz...,暂无简介,https://movie.douban.com/subject/1291844/
221,黑天鹅,Black Swan,8.6,850544,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔莉·波特曼 Natalie...,暂无简介,https://movie.douban.com/subject/1978709/
222,新龙门客栈,新龍門客棧,8.7,513290,导演: 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,暂无简介,https://movie.douban.com/subject/1292287/
223,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,8.5,1055522,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,暂无简介,https://movie.douban.com/subject/4739952/
224,千钧一发,Gattaca,8.8,353761,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...,暂无简介,https://movie.douban.com/subject/1300117/
225,人工智能,A.I. Artificial Intelligence,8.7,505803,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...,暂无简介,https://movie.douban.com/subject/1302827/
226,崖上的波妞,崖の上のポニョ,8.6,579048,导演: 宫崎骏 Hayao Miyazaki   主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,暂无简介,https://movie.douban.com/subject/1959877/
227,雨人,Rain Man,8.7,445085,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...,暂无简介,https://movie.douban.com/subject/1291870/
228,虎口脱险,La grande vadrouille,8.9,298233,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...,暂无简介,https://movie.douban.com/subject/1296909/
229,哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,8.6,700676,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,暂无简介,https://movie.douban.com/subject/1457217/
230,彗星来的那一夜,Coherence,8.6,690440,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...,暂无简介,https://movie.douban.com/subject/25807345/
231,罗生门,羅生門,8.8,360648,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 京町子 ...,暂无简介,https://movie.douban.com/subject/1291879/
232,海边的曼彻斯特,Manchester by the Sea,8.6,658044,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...,暂无简介,https://movie.douban.com/subject/25980443/
233,恋恋笔记本,The Notebook,8.5,753774,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...,暂无简介,https://movie.douban.com/subject/1309163/
234,火星救援,The Martian,8.5,843199,导演: 雷德利·斯科特 Ridley Scott   主演: 马特·达蒙 Matt Damon / 杰西卡...,暂无简介,https://movie.douban.com/subject/25864085/
235,真爱至上,Love Actually,8.5,811297,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 连姆...,暂无简介,https://movie.douban.com/subject/1292401/
236,黑客帝国2：重装上阵,The Matrix Reloaded,8.7,458285,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,暂无简介,https://movie.douban.com/subject/1304141/
237,冰雪奇缘,Frozen,8.5,837110,导演: 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee   主演: 克里斯汀...,暂无简介,https://movie.douban.com/subject/4202982/
238,步履不停,歩いても 歩いても,8.8,330394,导演: 是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,暂无简介,https://movie.douban.com/subject/2222996/
239,奇迹男孩,Wonder,8.6,603213,导演: 斯蒂芬·卓博斯基 Stephen Chbosky   主演: 雅各布·特伦布莱 Jacob Tr...,暂无简介,https://movie.douban.com/subject/26787574/
240,千年女优,千年女優,8.8,320302,导演: 今敏 Satoshi Kon   主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,暂无简介,https://movie.douban.com/subject/1307394/
241,谍影重重2,The Bourne Supremacy,8.7,402389,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,暂无简介,https://movie.douban.com/subject/1308767/
242,战争之王,Lord of War,8.7,417937,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...,暂无简介,https://movie.douban.com/subject/1419936/
243,蜘蛛侠：平行宇宙,Spider-Man: Into the Spider-Verse,8.6,761358,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,暂无简介,https://movie.douban.com/subject/26374197/
244,攻壳机动队,攻殻機動隊,9.0,220368,导演: 押井守 Mamoru Oshii   主演: 田中敦子 Atsuko Tanaka / 大冢明夫 Akio...,暂无简介,https://movie.douban.com/subject/1291936/
245,血钻,Blood Diamond,8.7,424042,导演: 爱德华·兹威克 Edward Zwick   主演: 莱昂纳多·迪卡普里奥 Leonardo ...,暂无简介,https://movie.douban.com/subject/1428175/
246,小姐,아가씨,8.5,582025,导演: 朴赞郁 Chan-wook Park   主演: 金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...,暂无简介,https://movie.douban.com/subject/25977027/
247,隐藏人物,Hidden Figures,8.9,275429,导演: 特奥多尔·梅尔菲 Theodore Melfi   主演: 塔拉吉·P·汉森 Taraji P. ...,暂无简介,https://movie.douban.com/subject/26615208/
248,血观音,血觀音,8.6,569567,导演: 杨雅喆 Ya-che Yang   主演: 惠英红 Kara Wai Ying Hung / 吴可熙 Wu K...,暂无简介,https://movie.douban.com/subject/27113517/
249,魂断蓝桥,Waterloo Bridge,8.8,312326,导演: 茂文·勒鲁瓦 Mervyn LeRoy   主演: 费雯·丽 Vivien Leigh / 罗伯特·...,暂无简介,https://movie.douban.com/subject/1293964/
250,房间,Room,8.7,401698,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson   主演: 布丽·拉尔森 Brie Larson...,暂无简介,https://movie.douban.com/subject/25724855/
