排名,片名,评分,评价人数,详情链接
28,龙猫,9.2,1412058,https://movie.douban.com/subject/1291560/
29,活着,9.3,970980,https://movie.douban.com/subject/1292365/
30,怦然心动,9.1,2052366,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,9.2,1193586,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,9.3,911289,https://movie.douban.com/subject/1291552/
33,我不是药神,9.0,2351833,https://movie.douban.com/subject/26752088/
34,乱世佳人,9.3,796291,https://movie.douban.com/subject/1300267/
35,飞屋环游记,9.1,1501978,https://movie.douban.com/subject/2129039/
36,让子弹飞,9.0,1921681,https://movie.douban.com/subject/3742360/
37,哈尔的移动城堡,9.1,1292550,https://movie.douban.com/subject/1308807/
38,十二怒汉,9.4,579671,https://movie.douban.com/subject/1293182/
39,海蒂和爷爷,9.3,782964,https://movie.douban.com/subject/25958717/
40,素媛,9.3,776904,https://movie.douban.com/subject/21937452/
41,猫鼠游戏,9.1,1212479,https://movie.douban.com/subject/1305487/
42,天空之城,9.2,1010056,https://movie.douban.com/subject/1291583/
43,鬼子来了,9.3,715986,https://movie.douban.com/subject/1291858/
44,摔跤吧！爸爸,9.0,1746841,https://movie.douban.com/subject/26387939/
45,少年派的奇幻漂流,9.1,1490851,https://movie.douban.com/subject/1929463/
46,钢琴家,9.3,751087,https://movie.douban.com/subject/1296736/
47,指环王2：双塔奇兵,9.2,858251,https://movie.douban.com/subject/1291572/
48,死亡诗社,9.2,884845,https://movie.douban.com/subject/1291548/
49,大话西游之月光宝盒,9.0,1366925,https://movie.douban.com/subject/1299398/
50,绿皮书,8.9,1894853,https://movie.douban.com/subject/27060077/
51,何以为家,9.1,1163474,https://movie.douban.com/subject/30170448/
52,闻香识女人,9.1,1024496,https://movie.douban.com/subject/1298624/
53,大闹天宫,9.4,510552,https://movie.douban.com/subject/1418019/
54,黑客帝国,9.1,951704,https://movie.douban.com/subject/1291843/
55,指环王1：护戒使者,9.1,961391,https://movie.douban.com/subject/1291571/
56,罗马假日,9.1,1049508,https://movie.douban.com/subject/1293839/
57,教父2,9.3,641058,https://movie.douban.com/subject/1299131/
58,狮子王,9.1,962163,https://movie.douban.com/subject/1301753/
59,天堂电影院,9.2,742259,https://movie.douban.com/subject/1291828/
60,饮食男女,9.2,726616,https://movie.douban.com/subject/1291818/
61,辩护人,9.2,658803,https://movie.douban.com/subject/21937445/
62,本杰明·巴顿奇事,9.0,1106584,https://movie.douban.com/subject/1485260/
63,搏击俱乐部,9.0,977336,https://movie.douban.com/subject/1292000/
64,美丽心灵,9.1,854502,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,9.2,642783,https://movie.douban.com/subject/3008247/
66,哈利·波特与死亡圣器(下),9.0,972417,https://movie.douban.com/subject/3011235/
67,情书,8.9,1328029,https://movie.douban.com/subject/1292220/
68,两杆大烟枪,9.1,679094,https://movie.douban.com/subject/1293350/
69,窃听风暴,9.2,632981,https://movie.douban.com/subject/1900841/
70,功夫,8.9,1338934,https://movie.douban.com/subject/1291543/
71,音乐之声,9.1,685363,https://movie.douban.com/subject/1294408/
72,哈利·波特与阿兹卡班的囚徒,9.0,892973,https://movie.douban.com/subject/1291544/
73,阿凡达,8.8,1588393,https://movie.douban.com/subject/1652587/
74,西西里的美丽传说,8.9,1094953,https://movie.douban.com/subject/1292402/
75,看不见的客人,8.8,1443448,https://movie.douban.com/subject/26580232/
76,拯救大兵瑞恩,9.1,726325,https://movie.douban.com/subject/1292849/
77,沉默的羔羊,8.9,1018239,https://movie.douban.com/subject/1293544/
78,小鞋子,9.2,467266,https://movie.douban.com/subject/1303021/
79,布达佩斯大饭店,8.9,1087738,https://movie.douban.com/subject/11525673/
80,蝴蝶效应,8.9,1070380,https://movie.douban.com/subject/1292343/
81,飞越疯人院,9.1,605379,https://movie.douban.com/subject/1292224/
82,还有明天,9.3,374501,https://movie.douban.com/subject/36445098/
83,禁闭岛,8.9,1116321,https://movie.douban.com/subject/2334904/
84,心灵捕手,9.0,816970,https://movie.douban.com/subject/1292656/
85,致命魔术,8.9,966143,https://movie.douban.com/subject/1780330/
86,低俗小说,8.9,961969,https://movie.douban.com/subject/1291832/
87,哈利·波特与密室,8.9,919410,https://movie.douban.com/subject/1296996/
88,超脱,9.0,725326,https://movie.douban.com/subject/5322596/
89,一一,9.1,512895,https://movie.douban.com/subject/1292434/
90,喜剧之王,8.8,1098307,https://movie.douban.com/subject/1302425/
91,杀人回忆,8.9,839953,https://movie.douban.com/subject/1300299/
92,致命ID,8.9,952456,https://movie.douban.com/subject/1297192/
93,摩登时代,9.3,348099,https://movie.douban.com/subject/1294371/
94,春光乍泄,9.0,711182,https://movie.douban.com/subject/1292679/
95,加勒比海盗,8.8,971461,https://movie.douban.com/subject/1298070/
96,海豚湾,9.3,383024,https://movie.douban.com/subject/3442220/
97,美国往事,9.1,473345,https://movie.douban.com/subject/1292262/
98,红辣椒,9.0,572546,https://movie.douban.com/subject/1865703/
99,七宗罪,8.8,1065287,https://movie.douban.com/subject/1292223/
100,唐伯虎点秋香,8.8,1228045,https://movie.douban.com/subject/1306249/
101,狩猎,9.1,472597,https://movie.douban.com/subject/6985810/
102,幽灵公主,8.9,672014,https://movie.douban.com/subject/1297359/
103,甜蜜蜜,8.9,676422,https://movie.douban.com/subject/1305164/
104,寄生虫,8.8,1552665,https://movie.douban.com/subject/27010768/
105,天书奇谭,9.2,337030,https://movie.douban.com/subject/1428581/
106,蝙蝠侠：黑暗骑士崛起,8.9,816806,https://movie.douban.com/subject/3395373/
107,超能陆战队,8.8,1149201,https://movie.douban.com/subject/11026735/
108,7号房的礼物,8.9,624005,https://movie.douban.com/subject/10777687/
109,茶馆,9.5,210839,https://movie.douban.com/subject/1461403/
110,第六感,8.9,641186,https://movie.douban.com/subject/1297630/
111,爱在黎明破晓前,8.8,805164,https://movie.douban.com/subject/1296339/
112,爱在日落黄昏时,8.9,657196,https://movie.douban.com/subject/1291990/
113,被嫌弃的松子的一生,8.8,777239,https://movie.douban.com/subject/1787291/
114,头脑特工队,8.8,810594,https://movie.douban.com/subject/10533913/
115,哈利·波特与火焰杯,8.8,805488,https://movie.douban.com/subject/1309055/
116,未麻的部屋,9.1,427791,https://movie.douban.com/subject/1395091/
117,重庆森林,8.8,926207,https://movie.douban.com/subject/1291999/
118,借东西的小人阿莉埃蒂,8.9,630215,https://movie.douban.com/subject/4202302/
119,菊次郎的夏天,8.9,675999,https://movie.douban.com/subject/1293359/
120,入殓师,8.9,744999,https://movie.douban.com/subject/2149806/
121,断背山,8.8,785547,https://movie.douban.com/subject/1418834/
122,剪刀手爱德华,8.7,1123658,https://movie.douban.com/subject/1292370/
123,勇敢的心,8.9,607241,https://movie.douban.com/subject/1294639/
124,时空恋旅人,8.8,797297,https://movie.douban.com/subject/10577869/
125,驯龙高手,8.8,869545,https://movie.douban.com/subject/2353023/
126,傲慢与偏见,8.7,942573,https://movie.douban.com/subject/1418200/
127,消失的爱人,8.7,1077559,https://movie.douban.com/subject/21318488/
128,无人知晓,9.1,374398,https://movie.douban.com/subject/1292337/
129,倩女幽魂,8.8,838624,https://movie.douban.com/subject/1297447/
130,新世界,8.9,530898,https://movie.douban.com/subject/10437779/
131,花样年华,8.8,809699,https://movie.douban.com/subject/1291557/
132,玩具总动员3,8.9,595659,https://movie.douban.com/subject/1858711/
133,一个叫欧维的男人决定去死,8.9,572411,https://movie.douban.com/subject/26628357/
134,色，戒,8.7,966479,https://movie.douban.com/subject/1828115/
135,完美的世界,9.1,361655,https://movie.douban.com/subject/1300992/
136,怪兽电力公司,8.8,773795,https://movie.douban.com/subject/1291579/
137,阳光灿烂的日子,8.8,698414,https://movie.douban.com/subject/1291875/
138,教父3,9.0,434789,https://movie.douban.com/subject/1294240/
139,小森林 夏秋篇,9.0,475503,https://movie.douban.com/subject/25814705/
140,天使爱美丽,8.7,1023570,https://movie.douban.com/subject/1292215/
141,侧耳倾听,8.9,522735,https://movie.douban.com/subject/1297052/
142,哪吒闹海,9.2,309935,https://movie.douban.com/subject/1307315/
143,九品芝麻官,8.8,798358,https://movie.douban.com/subject/1297518/
144,被解救的姜戈,8.8,696060,https://movie.douban.com/subject/6307447/
145,请以你的名字呼唤我,8.8,828575,https://movie.douban.com/subject/26799731/
146,幸福终点站,8.8,645195,https://movie.douban.com/subject/1292274/
147,釜山行,8.6,1355875,https://movie.douban.com/subject/25986180/
148,神偷奶爸,8.7,1050876,https://movie.douban.com/subject/3287562/
149,小森林 冬春篇,9.0,422453,https://movie.douban.com/subject/25814707/
150,喜宴,9.0,434507,https://movie.douban.com/subject/1303037/
151,萤火之森,8.8,614335,https://movie.douban.com/subject/5989818/
152,告白,8.8,746844,https://movie.douban.com/subject/4268598/
153,七武士,9.3,237274,https://movie.douban.com/subject/1295399/
154,玛丽和麦克斯,9.0,472804,https://movie.douban.com/subject/3072124/
155,头号玩家,8.6,1523009,https://movie.douban.com/subject/4920389/
156,模仿游戏,8.8,722999,https://movie.douban.com/subject/10463953/
157,惊魂记,9.0,358831,https://movie.douban.com/subject/1293181/
158,机器人之梦,9.1,445003,https://movie.douban.com/subject/35426925/
159,大鱼,8.8,629429,https://movie.douban.com/subject/1291545/
160,心灵奇旅,8.7,1149123,https://movie.douban.com/subject/24733428/
161,背靠背，脸对脸,9.5,181636,https://movie.douban.com/subject/1307856/
162,血战钢锯岭,8.7,862898,https://movie.douban.com/subject/26325320/
163,射雕英雄传之东成西就,8.7,720724,https://movie.douban.com/subject/1316510/
164,你的名字。,8.5,1600196,https://movie.douban.com/subject/26683290/
165,我是山姆,9.0,378529,https://movie.douban.com/subject/1306861/
166,阳光姐妹淘,8.8,640997,https://movie.douban.com/subject/4917726/
167,末路狂花,9.0,352841,https://movie.douban.com/subject/1291992/
168,恐怖直播,8.7,731483,https://movie.douban.com/subject/21360417/
169,黑客帝国3：矩阵革命,8.8,499663,https://movie.douban.com/subject/1302467/
170,高山下的花环,9.5,161496,https://movie.douban.com/subject/1422283/
171,小丑,8.7,1129330,https://movie.douban.com/subject/27119724/
172,谍影重重3,8.9,473494,https://movie.douban.com/subject/1578507/
173,三块广告牌,8.7,924150,https://movie.douban.com/subject/26611804/
174,电锯惊魂,8.7,616511,https://movie.douban.com/subject/1417598/
175,无间道2,8.8,571126,https://movie.douban.com/subject/1307106/
176,达拉斯买家俱乐部,8.8,508757,https://movie.douban.com/subject/1793929/
177,疯狂原始人,8.7,925131,https://movie.douban.com/subject/1907966/
178,绿里奇迹,8.9,390685,https://movie.douban.com/subject/1300374/
179,爱在午夜降临前,8.9,477345,https://movie.douban.com/subject/10808442/
180,疯狂的石头,8.6,930463,https://movie.douban.com/subject/1862151/
181,雨中曲,9.1,270756,https://movie.douban.com/subject/1293460/
182,2001太空漫游,8.9,399703,https://movie.douban.com/subject/1292226/
183,海街日记,8.8,524637,https://movie.douban.com/subject/25895901/
184,风之谷,8.9,395303,https://movie.douban.com/subject/1291585/
185,上帝之城,9.0,334953,https://movie.douban.com/subject/1292208/
186,心迷宫,8.7,621714,https://movie.douban.com/subject/25917973/
187,英雄本色,8.6,609394,https://movie.douban.com/subject/1297574/
188,记忆碎片,8.7,673492,https://movie.douban.com/subject/1304447/
189,纵横四海,8.8,485591,https://movie.douban.com/subject/1295409/
190,无敌破坏王,8.7,615107,https://movie.douban.com/subject/6534248/
191,卢旺达饭店,8.9,368977,https://movie.douban.com/subject/1291822/
192,牯岭街少年杀人事件,8.9,372634,https://movie.douban.com/subject/1292329/
193,恐怖游轮,8.5,996714,https://movie.douban.com/subject/3011051/
194,东京教父,9.0,293666,https://movie.douban.com/subject/1310177/
195,小偷家族,8.7,898798,https://movie.douban.com/subject/27622447/
196,魔女宅急便,8.7,527729,https://movie.douban.com/subject/1307811/
197,冰川时代,8.7,688947,https://movie.douban.com/subject/1291578/
198,芙蓉镇,9.3,191884,https://movie.douban.com/subject/1297880/
199,忠犬八公物语,9.2,219883,https://movie.douban.com/subject/1959195/
200,岁月神偷,8.7,614460,https://movie.douban.com/subject/3792799/
201,遗愿清单,8.7,542313,https://movie.douban.com/subject/1867345/
202,荒蛮故事,8.7,521035,https://movie.douban.com/subject/24750126/
203,大佛普拉斯,8.7,557956,https://movie.douban.com/subject/27059130/
204,源代码,8.6,931218,https://movie.douban.com/subject/3075287/
205,花束般的恋爱,8.6,835988,https://movie.douban.com/subject/34874432/
206,白日梦想家,8.6,655242,https://movie.douban.com/subject/2133323/
207,爱乐之城,8.4,1128551,https://movie.douban.com/subject/25934014/
208,疯狂的麦克斯4：狂暴之路,8.7,621954,https://movie.douban.com/subject/3592854/
209,可可西里,8.9,348549,https://movie.douban.com/subject/1308857/
210,你看起来好像很好吃,8.9,377941,https://movie.douban.com/subject/4848115/
211,贫民窟的百万富翁,8.6,809609,https://movie.douban.com/subject/2209573/
212,波西米亚狂想曲,8.6,694780,https://movie.douban.com/subject/5300054/
213,城市之光,9.3,174306,https://movie.douban.com/subject/1293908/
214,爆裂鼓手,8.6,695510,https://movie.douban.com/subject/25773932/
215,青蛇,8.6,604121,https://movie.douban.com/subject/1303394/
216,哈利·波特与死亡圣器(上),8.6,700713,https://movie.douban.com/subject/2051007/
217,无耻混蛋,8.7,566945,https://movie.douban.com/subject/1438652/
218,东邪西毒,8.6,638020,https://movie.douban.com/subject/1292328/
219,大红灯笼高高挂,8.8,376574,https://movie.douban.com/subject/1293323/
220,终结者2：审判日,8.8,388545,https://movie.douban.com/subject/1291844/
221,黑天鹅,8.6,850544,https://movie.douban.com/subject/1978709/
222,新龙门客栈,8.7,513287,https://movie.douban.com/subject/1292287/
223,初恋这件小事,8.5,1055522,https://movie.douban.com/subject/4739952/
224,千钧一发,8.8,353759,https://movie.douban.com/subject/1300117/
225,人工智能,8.7,505801,https://movie.douban.com/subject/1302827/
226,崖上的波妞,8.6,579048,https://movie.douban.com/subject/1959877/
227,雨人,8.7,445083,https://movie.douban.com/subject/1291870/
228,虎口脱险,8.9,298233,https://movie.douban.com/subject/1296909/
229,哈利·波特与凤凰社,8.6,700676,https://movie.douban.com/subject/1457217/
230,彗星来的那一夜,8.6,690440,https://movie.douban.com/subject/25807345/
231,罗生门,8.8,360648,https://movie.douban.com/subject/1291879/
232,海边的曼彻斯特,8.6,658044,https://movie.douban.com/subject/25980443/
233,恋恋笔记本,8.5,753774,https://movie.douban.com/subject/1309163/
234,火星救援,8.5,843198,https://movie.douban.com/subject/25864085/
235,真爱至上,8.5,811295,https://movie.douban.com/subject/1292401/
236,黑客帝国2：重装上阵,8.7,458284,https://movie.douban.com/subject/1304141/
237,冰雪奇缘,8.5,837108,https://movie.douban.com/subject/4202982/
238,步履不停,8.8,330394,https://movie.douban.com/subject/2222996/
239,奇迹男孩,8.6,603213,https://movie.douban.com/subject/26787574/
240,千年女优,8.8,320302,https://movie.douban.com/subject/1307394/
241,谍影重重2,8.7,402388,https://movie.douban.com/subject/1308767/
242,战争之王,8.7,417937,https://movie.douban.com/subject/1419936/
243,蜘蛛侠：平行宇宙,8.6,761355,https://movie.douban.com/subject/26374197/
244,攻壳机动队,9.0,220367,https://movie.douban.com/subject/1291936/
245,血钻,8.7,424042,https://movie.douban.com/subject/1428175/
246,小姐,8.5,582020,https://movie.douban.com/subject/25977027/
247,隐藏人物,8.9,275427,https://movie.douban.com/subject/26615208/
248,血观音,8.6,569565,https://movie.douban.com/subject/27113517/
249,魂断蓝桥,8.8,312326,https://movie.douban.com/subject/1293964/
250,房间,8.7,401698,https://movie.douban.com/subject/25724855/
